Jersey,Jersey,44,00
Sark,Sark,44,00
Afghanistan,Afghanistan,93,00
Albania,Albania,355,00
Algeria,Algeria,213,00
American Samoa,American Samoa,1,11
Andorra,Andorra,376,00
Angola,Angola,244,00
Anguilla,Anguilla,1,011
Antarctica,Antarctica,672,00
Antigua & Barbuda,Antigua and Barbuda,1,011
Argentina,Argentina,54,00
Armenia,Armenia,374,00
Aruba,Aruba,297,00
Australia,Australia,61,0011
Austria,Austria,43,00
Azerbaijan,Azerbaijan,994,810
Bahamas,Bahamas,1,011
Bahrain,Bahrain,973,00
Bangladesh,Bangladesh,880,00
Barbados,Barbados,1,011
Belarus,Belarus,375,810
Belgium,Belgium,32,00
Belize,Belize,501,00
Benin,Benin,229,00
Bermuda,Bermuda,1,011
Bhutan,Bhutan,975,00
Bolivia,Bolivia (Plurinational State of),591,0010
Bosnia,Bosnia and Herzegovina,387,00
Botswana,Botswana,267,00
Bouvet Island,Bouvet Island,47,00
Brazil,Brazil,55,0014
British Indian Ocean Territory,British Indian Ocean Territory,246,011
British Virgin Islands,British Virgin Islands,1,011
Brunei,Brunei Darussalam,673,00
Bulgaria,Bulgaria,359,00
Burkina Faso,Burkina Faso,226,00
Burundi,Burundi,257,00
Cambodia,Cambodia,855,00
Cameroon,Cameroon,237,00
Canada,Canada,1,011
Cape Verde,Cabo Verde,238,00
Caribbean Netherlands,Bonaire Sint Eustatius and Saba,599,00
Cayman Islands,Cayman Islands,1,011
Central African Republic,Central African Republic,236,00
Chad,Chad,235,15
Chile,Chile,56,00
China,China,86,00
Christmas Island,Christmas Island,61,0011
Cocos (Keeling) Islands,Cocos (Keeling) Islands,61,0011
Colombia,Colombia,57,005
Comoros,Comoros,269,00
Congo - Brazzaville,Congo,242,00
Congo - Kinshasa,Democratic Republic of the Congo,243,00
Cook Islands,Cook Islands,682,00
Costa Rica,Costa Rica,506,00
Croatia,Croatia,385,00
Cuba,Cuba,53,119
Curaçao,Curaçao,599,00
Cyprus,Cyprus,357,00
Czech Republic,Czech Republic,420,00
Côte d’Ivoire,Ivory Coast,225,00
Denmark,Denmark,45,00
Djibouti,Djibouti,253,00
Dominica,Dominica,1,011
Dominican Republic,Dominican Republic,1,011
Ecuador,Ecuador,593,00
Egypt,Egypt,20,00
El Salvador,El Salvador,503,00
Equatorial Guinea,Equatorial Guinea,240,00
Eritrea,Eritrea,291,00
Estonia,Estonia,372,00
Ethiopia,Ethiopia,251,00
Falkland Islands,Falkland Islands (Malvinas),500,00
Faroe Islands,Faeroe Islands,298,00
Fiji,Fiji,679,00
Finland,Finland,358,00
France,France,33,00
French Guiana,French Guiana,594,00
French Polynesia,French Polynesia,689,00
French Southern Territories,French Southern Territories,262,00
Gabon,Gabon,241,00
Gambia,Gambia,220,00
Georgia,Georgia,995,810
Germany,Germany,49,00
Ghana,Ghana,233,00
Gibraltar,Gibraltar,350,00
Greece,Greece,30,00
Greenland,Greenland,299,009
Grenada,Grenada,1,011
Guadeloupe,Guadeloupe,590,00
Guam,Guam,1,011
Guatemala,Guatemala,502,00
Guernsey,Guernsey,44,00
Guinea,Guinea,224,00
Guinea-Bissau,Guinea-Bissau,245,00
Guyana,Guyana,592,00
Haiti,Haiti,509,00
Heard & McDonald Islands,Heard & McDonald Islands,672,00
Honduras,Honduras,504,00
Hong Kong,Hong Kong,852,001
Hungary,Hungary,36,00
Iceland,Iceland,354,00
India,India,91,00
Indonesia,Indonesia,62,001
Iran,Iran,98,00
Iraq,Iraq,964,00
Ireland,Ireland,353,00
Isle of Man,Isle of Man,44,00
Israel,Israel,972,00
Italy,Italy,39,00
Jamaica,Jamaica,1,011
Japan,Japan,81,010
Jordan,Jordan,962,00
Kazakhstan,Kazakhstan,7,810
Kenya,Kenya,254,000
Kiribati,Kiribati,686,00
Kuwait,Kuwait,965,00
Kyrgyzstan,Kyrgyzstan,996,00
Laos,Lao People's Democratic Republic,856,00
Latvia,Latvia,371,00
Lebanon,Lebanon,961,00
Lesotho,Lesotho,266,00
Liberia,Liberia,231,00
Libya,Libya,218,00
Liechtenstein,Liechtenstein,423,00
Lithuania,Lithuania,370,00
Luxembourg,Luxembourg,352,00
Macau,Macao Special Administrative Region,853,00
Macedonia,The former Yugoslav Republic of Macedonia,389,00
Madagascar,Madagascar,261,00
Malawi,Malawi,265,00
Malaysia,Malaysia,60,00
Maldives,Maldives,960,00
Mali,Mali,223,00
Malta,Malta,356,00
Marshall Islands,Marshall Islands,692,00
Martinique,Martinique,596,00
Mauritania,Mauritania,222,00
Mauritius,Mauritius,230,020
Mayotte,Mayotte,262,00
Mexico,Mexico,52,00
Micronesia,Micronesia (Federated States of),691,011
Moldova,Republic of Moldova,373,00
Monaco,Monaco,377,00
Mongolia,Mongolia,976,001
Montenegro,Montenegro,382,99
Montserrat,Montserrat,1,011
Morocco,Morocco,212,00
Mozambique,Mozambique,258,00
Myanmar,Myanmar,95,00
Namibia,Namibia,264,00
Nauru,Nauru,674,00
Nepal,Nepal,977,00
Netherlands,Netherlands,31,00
New Caledonia,New Caledonia,687,00
New Zealand,New Zealand,64,00
Nicaragua,Nicaragua,505,00
Niger,Niger,227,00
Nigeria,Nigeria,234,009
Niue,Niue,683,00
Norfolk Island,Norfolk Island,672,00
North Korea,Democratic People's Republic of Korea,850,00
Northern Mariana Islands,Northern Mariana Islands,1,011
Norway,Norway,47,00
Oman,Oman,968,00
Pakistan,Pakistan,92,00
Palau,Palau,680,00
Palestine,State of Palestine,970,00
Panama,Panama,507,00
Papua New Guinea,Papua New Guinea,675,05
Paraguay,Paraguay,595,002
Peru,Peru,51,00
Philippines,Philippines,63,00
Pitcairn Islands,Pitcairn,870,00
Poland,Poland,48,00
Portugal,Portugal,351,00
Puerto Rico,Puerto Rico,1,011
Qatar,Qatar,974,00
Romania,Romania,40,00
Russia,Russian Federation,7,810
Rwanda,Rwanda,250,00
Réunion,Reunion,262,00
Samoa,Samoa,685,00
San Marino,San Marino,378,00
Saudi Arabia,Saudi Arabia,966,00
Senegal,Senegal,221,00
Serbia,Serbia,381,99
Seychelles,Seychelles,248,00
Sierra Leone,Sierra Leone,232,00
Singapore,Singapore,65,001
Sint Maarten,Sint Maarten (Dutch part),1,011
Slovakia,Slovakia,421,00
Slovenia,Slovenia,386,00
Solomon Islands,Solomon Islands,677,00
Somalia,Somalia,252,00
South Africa,South Africa,27,09
South Georgia & South Sandwich Islands,South Georgia & South Sandwich Islands,500,00
South Korea,Republic of Korea,82,001
South Sudan,South Sudan,211,00
Spain,Spain,34,00
Sri Lanka,Sri Lanka,94,00
St. Barthélemy,Saint Barthélemy,590,00
St. Helena,Saint Helena,290,00
St. Kitts & Nevis,Saint Kitts and Nevis,1,011
St. Lucia,Saint Lucia,1,011
St. Martin,Saint Martin (French part),590,00
St. Pierre & Miquelon,Saint Pierre and Miquelon,508,00
St. Vincent & Grenadines,Saint Vincent and the Grenadines,1,011
Sudan,Sudan,249,00
Suriname,Suriname,597,00
Svalbard & Jan Mayen,Svalbard and Jan Mayen Islands,47,00
Swaziland,Swaziland,268,00
Sweden,Sweden,46,00
Switzerland,Switzerland,41,00
Syria,Syrian Arab Republic,963,00
São Tomé & Príncipe,Sao Tome and Principe,239,00
Taiwan,Taiwan,886,002
Tajikistan,Tajikistan,992,810
Tanzania,United Republic of Tanzania,255,000
Thailand,Thailand,66,001
Timor-Leste,Timor-Leste,670,1997
Togo,Togo,228,00
Tokelau,Tokelau,690,00
Tonga,Tonga,676,00
Trinidad & Tobago,Trinidad and Tobago,1,011
Tunisia,Tunisia,216,00
Turkey,Turkey,90,00
Turkmenistan,Turkmenistan,993,810
Turks & Caicos Islands,Turks and Caicos Islands,1,011
Tuvalu,Tuvalu,688,00
U.S. Outlying Islands,U.S. Outlying Islands,1,011
U.S. Virgin Islands,United States Virgin Islands,1,011
United Kingdom,Great Britain,44,00
United States of America,United States of America,1,011
Uganda,Uganda,256,000
Ukraine,Ukraine,380,810
United Arab Emirates,United Arab Emirates,971,00
Uruguay,Uruguay,598,00
Uzbekistan,Uzbekistan,998,810
Vanuatu,Vanuatu,678,00
Vatican City,Holy See,379,00
Venezuela,Venezuela (Bolivarian Republic of),58,00
Vietnam,Viet Nam,84,00
Wallis & Futuna,Wallis and Futuna Islands,681,19
Western Sahara,Western Sahara,212,00
Yemen,Yemen,967,00
Zambia,Zambia,260,00
Zimbabwe,Zimbabwe,263,00
Åland Islands,Åland Islands,358,00
